Name,R,G,B,Broad Color
Air Force Blue (Raf),93,138,168,Blue
Air Force Blue (Usaf),0,48,143,Blue
Air Superiority Blue,114,160,193,Blue
Alabama Crimson,163,38,56,Red
Alice Blue,240,248,255,Blue
Alizarin Crimson,227,38,54,Red
Alloy Orange,196,98,16,Orange
Almond,239,222,205,Pink
Amaranth,229,43,80,Red
Amber,255,191,0,Yellow
Amber (Sae/Ece),255,126,0,Yellow
American Rose,255,3,62,Red
Amethyst,153,102,204,Purple
Android Green,164,198,57,Green
Anti-Flash White,242,243,244,White
Antique Brass,205,149,117,Brown
Antique Fuchsia,145,92,131,Pink
Antique Ruby,132,27,45,Red
Antique White,250,235,215,White
Ao (English),0,128,0,Green
Apple Green,141,182,0,Green
Apricot,251,206,177,Pink
Aqua,0,255,255,Blue
Aquamarine,127,255,212,Blue
Army Green,75,83,32,Green
Arsenic,59,68,75,Grey
Arylide Yellow,233,214,107,Yellow
Ash Grey,178,190,181,Grey
Asparagus,135,169,107,Green
Atomic Tangerine,255,153,102,Orange
Auburn,165,42,42,Orange
Aureolin,253,238,0,Yellow
Aurometalsaurus,110,127,128,Grey
Avocado,86,130,3,Green
Azure,0,127,255,Blue
Azure Mist/Web,240,255,255,Blue
Baby Blue,137,207,240,Blue
Baby Blue Eyes,161,202,241,Blue
Baby Pink,244,194,194,Pink
Ball Blue,33,171,205,Blue
Banana Mania,250,231,181,Yellow
Banana Yellow,255,225,53,Yellow
Barn Red,124,10,2,Red
Battleship Grey,132,132,130,Grey
Bazaar,152,119,123,Pink
Beau Blue,188,212,230,Blue
Beaver,159,129,112,Brown
Beige,245,245,220,Brown
Big Dip O’Ruby,156,37,66,Red
Bisque,255,228,196,Orange
Bistre,61,43,31,Brown
Bittersweet,254,111,94,Pink
Bittersweet Shimmer,191,79,81,Pink
Black,0,0,0,Black
Black Bean,61,12,2,Brown
Black Leather Jacket,37,53,41,Black
Black Olive,59,60,54,Grey
Blanched Almond,255,235,205,Brown
Blast-Off Bronze,165,113,100,Yellow
Bleu De France,49,140,231,Blue
Brilliant Lavender,244,187,255,Purple
