Air Force Blue (Raf),93,138,168,Blue
Air Force Blue (Usaf),0,48,143,Blue
Air Superiority Blue,114,160,193,Blue
Alabama Crimson,163,38,56,Red
Alice Blue,240,248,255,Blue
Alizarin Crimson,227,38,54,Red
Alloy Orange,196,98,16,Orange
Almond,239,222,205,Pink
Amaranth,229,43,80,Red
Amber,255,191,0,Yellow
Amber (Sae/Ece),255,126,0,Yellow
American Rose,255,3,62,Red
Amethyst,153,102,204,Purple
Android Green,164,198,57,Green
Anti-Flash White,242,243,244,White
Antique Brass,205,149,117,Brown
Antique Fuchsia,145,92,131,Pink
Antique Ruby,132,27,45,Red
Antique White,250,235,215,White
Ao (English),0,128,0,Green
Apple Green,141,182,0,Green
Apricot,251,206,177,Pink
Aqua,0,255,255,Blue
Aquamarine,127,255,212,Blue
Army Green,75,83,32,Green
Arsenic,59,68,75,Grey
Arylide Yellow,233,214,107,Yellow
Ash Grey,178,190,181,Grey
Asparagus,135,169,107,Green
Atomic Tangerine,255,153,102,Orange
Auburn,165,42,42,Orange
Aureolin,253,238,0,Yellow
Aurometalsaurus,110,127,128,Grey
Avocado,86,130,3,Green
Azure,0,127,255,Blue
Azure Mist/Web,240,255,255,Blue
Baby Blue,137,207,240,Blue
Baby Blue Eyes,161,202,241,Blue
Baby Pink,244,194,194,Pink
Ball Blue,33,171,205,Blue
Banana Mania,250,231,181,Yellow
Banana Yellow,255,225,53,Yellow
Barn Red,124,10,2,Red
Battleship Grey,132,132,130,Grey
Bazaar,152,119,123,Pink
Beau Blue,188,212,230,Blue
Beaver,159,129,112,Brown
Beige,245,245,220,Brown
Big Dip O’Ruby,156,37,66,Red
Bisque,255,228,196,Orange
Bistre,61,43,31,Brown
Bittersweet,254,111,94,Pink
Bittersweet Shimmer,191,79,81,Pink
Black,0,0,0,Black
Black Bean,61,12,2,Brown
Black Leather Jacket,37,53,41,Black
Black Olive,59,60,54,Grey
Blanched Almond,255,235,205,Brown
Blast-Off Bronze,165,113,100,Yellow
Bleu De France,49,140,231,Blue
Blizzard Blue,172,229,238,Blue
Blond,250,240,190,Yellow
Blue,0,0,255,Blue
Blue Bell,162,162,208,Purple
Blue (Crayola),31,117,254,Blue
Blue Gray,102,153,204,Blue
Blue-Green,13,152,186,Blue
Blue (Munsell),0,147,175,Blue
Blue (Ncs),0,135,189,Blue
Blue (Pigment),51,51,153,Purple
Blue (Ryb),2,71,254,Blue
Blue Sapphire,18,97,128,Blue
Blue-Violet,138,43,226,Purple
Blush,222,93,131,Pink
Bole,121,68,59,Brown
Bondi Blue,0,149,182,Blue
Bone,227,218,201,White
Boston University Red,204,0,0,Red
Bottle Green,0,106,78,Green
Boysenberry,135,50,96,Purple
Brandeis Blue,0,112,255,Blue
Brass,181,166,66,Yellow
Brick Red,203,65,84,Red
Bright Cerulean,29,172,214,Blue
Bright Green,102,255,0,Green
Bright Lavender,191,148,228,Purple
Bright Maroon,195,33,72,Red
Bright Pink,255,0,127,Pink
Bright Turquoise,8,232,222,Blue
Bright Ube,209,159,232,Purple
Brilliant Lavender,244,187,255,Pink
Brilliant Rose,255,85,163,Pink
Brink Pink,251,96,127,Pink
British Racing Green,0,66,37,Green
Bronze,205,127,50,Orange
Brown (Traditional),150,75,0,Brown
Brown (Web),165,42,42,Red
Bubble Gum,255,193,204,Pink
Bubbles,231,254,255,Green
Buff,240,220,130,Yellow
Bulgarian Rose,72,6,7,Red
Burgundy,128,0,32,Red
Burlywood,222,184,135,Brown
Burnt Orange,204,85,0,Orange
Burnt Sienna,233,116,81,Pink
Burnt Umber,138,51,36,Red
Byzantine,189,51,164,Pink
Byzantium,112,41,99,Purple
Cadet,83,104,114,Grey
Cadet Blue,95,158,160,Blue
Cadet Grey,145,163,176,Grey
Cadmium Green,0,107,60,Green
Cadmium Orange,237,135,45,Orange
Cadmium Red,227,0,34,Red
Cadmium Yellow,255,246,0,Yellow
Café Au Lait,166,123,91,Brown
Café Noir,75,54,33,Brown
Cal Poly Green,30,77,43,Green
Cambridge Blue,163,193,173,Green
Camel,193,154,107,Brown
Cameo Pink,239,187,204,Pink
Camouflage Green,120,134,107,Green
Canary Yellow,255,239,0,Yellow
Candy Apple Red,255,8,0,Red
Candy Pink,228,113,122,Pink
Capri,0,191,255,Blue
Caput Mortuum,89,39,32,Brown
Cardinal,196,30,58,Pink
Caribbean Green,0,204,153,Green
Carmine,150,0,24,Red
Carmine (M&P),215,0,64,Pink
Carmine Pink,235,76,66,Red
Carmine Red,255,0,56,Red
Carnation Pink,255,166,201,Pink
Carnelian,179,27,27,Red
Carolina Blue,153,186,221,Blue
Carrot Orange,237,145,33,Orange
Catalina Blue,6,42,120,Blue
Ceil,146,161,207,Blue
Celadon,172,225,175,Green
Celadon Blue,0,123,167,Blue
Celadon Green,47,132,124,Green
Celeste (Colour),178,255,255,Blue
Celestial Blue,73,151,208,Blue
Cerise,222,49,99,Pink
Cerise Pink,236,59,131,Pink
Cerulean,0,123,167,Blue
Cerulean Blue,42,82,190,Blue
Cerulean Frost,109,155,195,Blue
Cg Blue,0,122,165,Blue
Cg Red,224,60,49,Orange
Chamoisee,160,120,90,Brown
Champagne,250,214,165,Brown
Charcoal,54,69,79,Grey
Charm Pink,230,143,172,Pink
Chartreuse (Traditional),223,255,0,Yellow
Chartreuse (Web),127,255,0,Green
Cherry,222,49,99,Pink
Cherry Blossom Pink,255,183,197,Pink
Chestnut,205,92,92,Orange
China Pink,222,111,161,Pink
China Rose,168,81,110,Purple
Chinese Red,170,56,30,Red
Chocolate (Traditional),123,63,0,Brown
Chocolate (Web),210,105,30,Orange
Chrome Yellow,255,167,0,Orange
Cinereous,152,129,123,Grey
Cinnabar,227,66,52,Red
Cinnamon,210,105,30,Brown
Citrine,228,208,10,Yellow
Classic Rose,251,204,231,Pink
Cobalt,0,71,171,Blue
Cocoa Brown,210,105,30,Brown
Coffee,111,78,55,Brown
